Donor ID,Donor City,Donor State,Donor Is Teacher,Donor Zip
4c746b768e3bea9e3dc1d5be7b510651,Henderson,Nevada,No,890
6d2593eff4013f1a4eab0bba2f49c789,Chicago,Illinois,No,606
b0a6d45ec6dde6ff7fa08f577b4642ae,Monticello,Minnesota,No,553
e844f9898d74b47f57c9befabfc44d9b,New York,New York,No,100
a15a7ed58208ae682eda8cf62fda8381,Saint Albans,West Virginia,No,251
7715d3ef0d02f4694ce99b784fa48728,Longwood,Florida,No,327
d46a7e53ea5a335baa52f7d7c2074eec,Minneapolis,California,No,554
a8666491201420099e011be3e6985aab,,Wisconsin,No,544
c46b31b734e94aff613755d83dabbf36,Irvine,California,No,926
a793840999c666097dface4b20b11606,Miller Place,New York,No,117
25c8bfdafd95a608172126bb358d0886,Austin,Texas,No,787
4805bd5f56cf2ffa1babb7cda07e0b62,Fremont,California,No,945
1c7111b514bf687a20840a529eb34b6f,Ithaca,New York,Yes,148
41054cf91efc7a7121e4a38f81914849,Blaine,Washington,No,982
9df1632e43dd509a133dd7dfb72d6113,Hull,Massachusetts,No,020
eecdd39d67012e516126ff54112c1332,Amory,Mississippi,No,388
f17c4b853e32eff83bdd8dfd5eafdac4,Fair Oaks,California,No,956
0c9712d579a0909449eac69167e0961d,Charleston,South Carolina,No,294
6f53b81125bf361b22ff0c7cb195b8be,San Francisco,California,No,941
2d0d4c1fed391ba03c457b3703711cd6,Pasadena,California,No,911
134567565a4a9cd79c5defe7be145190,,other,No,
e060b42c234152b7e7c59ce282e3b34b,Princeton Junction,New Jersey,Yes,085
55ca2187275b05c0c85a9b04feb34325,Tucson,Arizona,No,857
a190c1f92f5e36612cb20567bcce6278,Philadelphia,Pennsylvania,No,191
4172fab25e631e049e41621e8ad8729a,Minneapolis,Minnesota,No,554
eefb56245b88ebb7805b2c326b3a01aa,,other,No,
1c344320379a5f3fc7c46f0573152ab3,Eau Claire,Wisconsin,No,547
823c37e19ba6358f8c399587f439fecd,Key West,Florida,No,330
61d5bb67b2fae19b575699fcd81629c9,Glendale,Arizona,No,853
1b516753f88dd06373045479c7a2510b,Roanoke,Texas,No,762
afed1b6e2d45fba37371c6c5224b85e2,Glendale,Arizona,No,853
c719960b561be3c69a3d20f4f10b78cd,Denton,Texas,No,762
813f1f950f8e948224a744612fdead3e,Wildomar,California,No,925
584f19f2a9feb6bc850cb3b2ec8591be,Louisville,Colorado,No,800
d8baf069ce1273d9450c1e4f9be59809,Goshen,Ohio,No,451
3aa6e1ee46e1fd71956b6e402c5da0ce,Oklahoma City,Oklahoma,No,731
1acc15fe2b4c36f41038b5fec15700d2,Rock Falls,Wisconsin,No,610
d3e770a1f18414f7f66a0a9a4e116c8a,,Wisconsin,No,
9935b54b716078588817331953e37579,Laurel,Maryland,No,207
4c5b04f82fedb2113b5cf67412384c01,Leominster,Massachusetts,Yes,014
