Project ID,Resource Item Name,Resource Quantity,Resource Unit Price,Resource Vendor Name
928a5696b9e1a9b2a48aae40cd669a73,"kindle fire hd 7"", hd display, wi-fi, 8 gb - includes special offers",2.0,124.0,Amazon Business
3752dded3ace7fae1c09dd3473e91d1d,harry potter paperback box set (books 1-7),1.0,44.99,Amazon Business
24b7c0c9114171bcca6b23412ef85511,teacher created resources foam fractions dice (20689),1.0,12.49,Amazon Business
7c289108155f73c34324d4b844f7b54c,mythology: tales & legends of the gods (fandex family field guides),1.0,9.85,Amazon Business
060c2ab60b10b5b3f2af85b12af3919f,long way down,3.0,11.33,Amazon Business
88626c700a021c5f163955ae7655e593,ready-to-read nonfiction stories of famous americans (10 bk set),1.0,25.94,AKJ Education
c6d08b1a7274d39011eb67145855ae09,"quill brand standard manila file folders medium-weight, 1-ply, 1/3-cut tabs, letter size (8-1/2x11), 100/bx",3.0,7.99,Quill.com
f002edaf730e1d57da1ab8da72d683b4,"all-new fire hd 8 kids edition tablet, 8"" hd display, 32 gb, blue kid-proof case",2.0,99.99,Amazon Business
aef29e1b45c7fd128eec7b45a0b2fec9,miss alaineus a vocabulary disaster,1.0,12.41,AKJ Education
525d00259db6bdd490b8101f4c6641d8,"post-it self-stick easel pad, 25 x 30.5 inches, 30-sheet pad (2 pack)",2.0,44.78,Amazon Business
876cedbbb3c59cb9e0de224cedb13539,brainpop jr.,1.0,145.0,AKJ Education
4ddb2abfefab24989a68866cd93bd059,techni edge #11 hobby blades - 100 pack,1.0,11.06,Amazon Business
f0e45bcd1fb1ad49b619b62152dc3f3b,who was jackie robinson?,1.0,5.1,AKJ Education
e171e67467b734e10018ccca0ff19d9e,"hyseas 3d digital print comfort foam throw pillow for home decoration, kiwi",1.0,9.99,Amazon Business
75aaf7b4cccd1c3d3f47564bcf71c3f4,"casual home 30-inch solid wood director chair, honey oak frame",2.0,58.78,Amazon Business
3982af3a7f4201126e6f366828083f1f,"60406-1500 - creativity street jumbo craft sticks - box of 500, assorted colors",4.0,7.45,Blick Art Materials
8e959b767332d87c1eaf95346a7f0964,aa835 - level c extra book set - k - library 1,3.0,27.0,Lakeshore Learning Materials
db6ce040cb036b615209f29ff7245b1b,"hammermill paper, fore mp, 24lb, 8.5 x 11, letter, 96 bright, 5000 sheets / 10 ream case (103283c), made in the usa",1.0,58.54,Amazon Business
b10ae63c836f96cba0d19407769a2706,dog man: from the creator of captain underpants (dog man #1),1.0,6.08,Amazon Business
5cc32cc72a9685a95ae5af43cea7e963,stolen,1.0,7.89,Amazon Business
dc05573e34f567a756a971c741d987a1,jj244 - magnetic display shelves - set of 2,1.0,29.99,Lakeshore Learning Materials
94b73c0b436c6f4df2190d8245db9e57,explorer (the lost islands #2),1.0,10.93,Amazon Business
f90eda6b0d0e52e9f39581d7e8d4b9d3,kidz gear wired headphones for kids - orange,1.0,19.99,Amazon Business
